レース名,1着,2着,3着,単勝オッズ,池田,サノケンジ,王,村山先生,大輔
スプリンターズS,ウインカーネリアン,ジュンブレア,ナムラクレア,50.0,ママコチャ,サトノレーヴ,ラッキースワイネス,トウシンマカオ,サトノレーヴ
秋華賞,,,,,カムニャック,エリカエクスプレス,カムニャック,ダノンフェアレディ,カムニャック
菊花賞,,,,,ジョバンニ,ショウヘイ,ゲルチュタール,ヤマニンブークリエ,エネルジコ
天皇賞秋,,,,,マスカレードボール,メイショウタバル,タスティエーラ,ミュージアムマイル,タスティエーラ
エリザベス女王杯,,,,,レガレイラ,アルマヴェローチェ,チェルヴィニア,シランケド,カムニャック
マイルCS,,,,,ジャンタルマンタル,アスコリピチェーノ,ジャンタルマンタル,ジャンタルマンタル,ソウルラッシュ
JC,,,,,クロワデュノール,シンエンペラー,ドゥレッツァ,タノンデサイル,クロワデュノール
チャンピオンズC,,,,,ミッキーファイト,ヤマニンウルス,サンライズジパング,アウトレンジ,サンライズジパング
阪神JF,,,,,ドリームコア,スマートプリエール,アランカール,アランカール,アランカール
朝日杯FS,,,,,サレジオ,サレジオ,カヴァレリッツォ,リアライズシリウス,クレパスキュラー
ホープフルS,,,,,サレジオ,ダノンヒストリー,リアライズシリウス,ロスパネドレス,ショウナンガルフ
有馬記念,,,,,クロワデュノール,レガレイラ,ダノンデサイル,クロワデュノール,へデントール
